Sentences,target_text,input_text,generated_gloss,gloss_sequence
do not abuse him, HIM ABUSE DONOT,translate English to gloss: do not abuse him,YOU MISS him, HIM ABUSE DONOT
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
what you want,YOU WANT WHAT ,translate English to gloss: what you want,YOU WANT WHAT,YOU WANT WHAT 
do not be stubborn,STUBBORN  BE DONOT,translate English to gloss: do not be stubborn,DO NOT HARM,STUBBORN  BE DONOT
do not be stubborn,STUBBORN  BE DONOT,translate English to gloss: do not be stubborn,DO NOT HARM,STUBBORN  BE DONOT
do not be stubborn,STUBBORN  BE DONOT,translate English to gloss: do not be stubborn,DO NOT HARM,STUBBORN  BE DONOT
do not be stubborn,STUBBORN  BE DONOT,translate English to gloss: do not be stubborn,DO NOT HARM,STUBBORN  BE DONOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i enjoyed a lot,I ENJOYED A LOT,translate English to gloss: i enjoyed a lot,I GUY AN AWAY,I ENJOYED A LOT
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
i am suffering from fever,I FEVER SUFFERING  ,translate English to gloss: i am suffering from fever,I Fieber,I FEVER SUFFERING  
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
try to understand,YOU TRY UNDERSTAND,translate English to gloss: try to understand,TRY TO COME,YOU TRY UNDERSTAND
pour some more water into the glass,WATER POUR  GLASS,translate English to gloss: pour some more water into the glass,GLASS GLASS GLASS,WATER POUR  GLASS
pour some more water into the glass,WATER POUR  GLASS,translate English to gloss: pour some more water into the glass,GLASS GLASS GLASS,WATER POUR  GLASS
pour some more water into the glass,WATER POUR  GLASS,translate English to gloss: pour some more water into the glass,GLASS GLASS GLASS,WATER POUR  GLASS
pour some more water into the glass,WATER POUR  GLASS,translate English to gloss: pour some more water into the glass,GLASS GLASS GLASS,WATER POUR  GLASS
are you free today,YOU FREE TODAY,translate English to gloss: are you free today,YOU FREE,YOU FREE TODAY
are you free today,YOU FREE TODAY,translate English to gloss: are you free today,YOU FREE,YOU FREE TODAY
are you free today,YOU FREE TODAY,translate English to gloss: are you free today,YOU FREE,YOU FREE TODAY
are you free today,YOU FREE TODAY,translate English to gloss: are you free today,YOU FREE,YOU FREE TODAY
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
how can i trust you,I TRUST YOU HOW ,translate English to gloss: how can i trust you,I GUEST YOU HOW,I TRUST YOU HOW 
what do you think, DO YOU THINK WHAT,translate English to gloss: what do you think,YOU GOT WHAT, DO YOU THINK WHAT
what do you think, DO YOU THINK WHAT,translate English to gloss: what do you think,YOU GOT WHAT, DO YOU THINK WHAT
what do you think, DO YOU THINK WHAT,translate English to gloss: what do you think,YOU GOT WHAT, DO YOU THINK WHAT
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD,YOU GOOD
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD,YOU GOOD
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD,YOU GOOD
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD,YOU GOOD
you are good,YOU GOOD,translate English to gloss: you are good,YOU GOOD,YOU GOOD
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
what happened,HAPPENED WHAT ,translate English to gloss: what happened,WHAT SEE,HAPPENED WHAT 
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
speak softly,SPEAK SOFTLY,translate English to gloss: speak softly,YES WELL,SPEAK SOFTLY
i am fine. thank you sir,I FINE THANK YOU ,translate English to gloss: i am fine. thank you sir,I FINE THANK YOU,I FINE THANK YOU 
i am fine. thank you sir,I FINE THANK YOU ,translate English to gloss: i am fine. thank you sir,I FINE THANK YOU,I FINE THANK YOU 
i am fine. thank you sir,I FINE THANK YOU ,translate English to gloss: i am fine. thank you sir,I FINE THANK YOU,I FINE THANK YOU 
i am fine. thank you sir,I FINE THANK YOU ,translate English to gloss: i am fine. thank you sir,I FINE THANK YOU,I FINE THANK YOU 
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
comb your hair,COMB YOU HAIR,translate English to gloss: comb your hair,COMBOTE YOUR HAIR,COMB YOU HAIR
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
do not make me angry,YOU ANGRY DONOT,translate English to gloss: do not make me angry,DO NOT ANGRY,YOU ANGRY DONOT
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
where are you from,YOU FROM WHERE ,translate English to gloss: where are you from,YOU FROM,YOU FROM WHERE 
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
take care of yourself,TAKE CARE  YOURSELF,translate English to gloss: take care of yourself,HELP ME,TAKE CARE  YOURSELF
what are you doing, YOU DO WHAT,translate English to gloss: what are you doing,YOU DO WHAT, YOU DO WHAT
what are you doing, YOU DO WHAT,translate English to gloss: what are you doing,YOU DO WHAT, YOU DO WHAT
what are you doing, YOU DO WHAT,translate English to gloss: what are you doing,YOU DO WHAT, YOU DO WHAT
what are you doing, YOU DO WHAT,translate English to gloss: what are you doing,YOU DO WHAT, YOU DO WHAT
how dare you, DARE YOU HOW,translate English to gloss: how dare you,YOU HOW, DARE YOU HOW
how dare you, DARE YOU HOW,translate English to gloss: how dare you,YOU HOW, DARE YOU HOW
how dare you, DARE YOU HOW,translate English to gloss: how dare you,YOU HOW, DARE YOU HOW
how dare you, DARE YOU HOW,translate English to gloss: how dare you,YOU HOW, DARE YOU HOW
i am crying,I CRY,translate English to gloss: i am crying,I CRY,I CRY
i am crying,I CRY,translate English to gloss: i am crying,I CRY,I CRY
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
why are you angry,YOU ANGRY WHY ,translate English to gloss: why are you angry,YOU ANGRY,YOU ANGRY WHY 
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
i am sitting in the class,I SITTING CLASS,translate English to gloss: i am sitting in the class,I SIT IN THE Class,I SITTING CLASS
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,translate English to gloss: now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER,NOW ONWARDS HE HURT YOU NEVER 
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,translate English to gloss: now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER,NOW ONWARDS HE HURT YOU NEVER 
now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER ,translate English to gloss: now onwards he will never hurt you,NOW ONWARDS HE HURT YOU NEVER,NOW ONWARDS HE HURT YOU NEVER 
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
he is on the way,HE ON THE WAY,translate English to gloss: he is on the way,HE ON THE WAY,HE ON THE WAY
it was nice chatting with you,YOU CHAT NICE,translate English to gloss: it was nice chatting with you,YOU HELP NICE,YOU CHAT NICE
it was nice chatting with you,YOU CHAT NICE,translate English to gloss: it was nice chatting with you,YOU HELP NICE,YOU CHAT NICE
it was nice chatting with you,YOU CHAT NICE,translate English to gloss: it was nice chatting with you,YOU HELP NICE,YOU CHAT NICE
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
had your food, FOOD HAD,translate English to gloss: had your food,HELP YOUR FRIEND, FOOD HAD
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
i promise,I PROMISE,translate English to gloss: i promise,I PROMISE,I PROMISE
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
how can i help you, I HELP YOU HOW,translate English to gloss: how can i help you,I HELP YOU HOW, I HELP YOU HOW
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
i somehow got to know about it,I SOMEHOW GOT KNOW ABOUT IT,translate English to gloss: i somehow got to know about it,I YES HAPPY IT,I SOMEHOW GOT KNOW ABOUT IT
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
nice to meet you,NICE MEET YOU,translate English to gloss: nice to meet you,NICE TO EET YOU,NICE MEET YOU
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
let him take time,LET HIM TAKE TIME,translate English to gloss: let him take time,HE PLAN WANT,LET HIM TAKE TIME
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i got hurt,I GOT HURT,translate English to gloss: i got hurt,I HELP,I GOT HURT
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
i am tired,I TIRED,translate English to gloss: i am tired,I REMOVE,I TIRED
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
can you repeat that please,YOU REPEAT PLEASE,translate English to gloss: can you repeat that please,YOU REPEAT PLEASE,YOU REPEAT PLEASE
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
my name is xxxxxxxx,MY NAME XXXXXXXX,translate English to gloss: my name is xxxxxxxx,YES XXXXXXXXXXXXXXXXXXXXXXXXXXX,MY NAME XXXXXXXX
how old are you,HOW OLD YOU,translate English to gloss: how old are you,YOU HOW OLD,HOW OLD YOU
how old are you,HOW OLD YOU,translate English to gloss: how old are you,YOU HOW OLD,HOW OLD YOU
how old are you,HOW OLD YOU,translate English to gloss: how old are you,YOU HOW OLD,HOW OLD YOU
how old are you,HOW OLD YOU,translate English to gloss: how old are you,YOU HOW OLD,HOW OLD YOU
how old are you,HOW OLD YOU,translate English to gloss: how old are you,YOU HOW OLD,HOW OLD YOU
